UID,V1,V2,COMMENTS
KLXL,chnüüble,,
KMII,SDATS_kneife,,
KNCA,chlü(ü)be,,
KNPB,chlü(ü)be,,
KOOG,zwänggu/-e_zwenggu/-e,,
KOQB,chlü(ü)be,,
KORE,chnüüble,,
KPFH,chlü(ü)be,,
KPHL,SDATS_zwicke/zwigge,,zwicke
KQWD,chlü(ü)be,,
KRKJ,SDATS_zwicke/zwigge,,zwicke
KRMJ,chlü(ü)be,,
KRZH,chnüüble,,
KSJX,chlempe,,
KUGY,chlü(ü)be,,
KUSC,chlemme,,
KVDO,chlü(ü)be,,
KVYN,chlempe,,
KXNF,SDATS_kneife,,
KYSI,chnüüble,,
KZCC,chlemme,,
LAKO,chlü(ü)be,,
LAKP,chlü(ü)be,,
LAOE,chlimse,,
LAPG,chlü(ü)be,,
LAXN,chlempe,,
LBNN,chlimse,,
LBVW,chlempe,,
LBYC,SDATS_kneife,,
LCNW,SDATS_kneife,,
LCXS,chlemme,,
LDAP,chlü(ü)be,,
LDNK,chlü(ü)be,,
LDXH,chlü(ü)be,,
LEDK,SDATS_kneife,,
LEGF,SDATS_zwicke/zwigge,,zwicke
LEJJ,chlü(ü)be,,
LFFD,chlü(ü)be,,
LHAU,chlü(ü)be,,
LHHT,chlemme,,
LHTZ,chlemme,,
LIDX,chnüüble,,
LIPR,chlemme,,
LJIP,chlemme,,
LLBP,SDATS_zwicke/zwigge,,zwicke
LLNV,chlömme,,
LMVO,chlü(ü)be,,
LOCO,chlemme,,
LOFY,chlempe,,
LOHZ,chlempe,,
LPNE,chlemme,,
LQUM,chlemme,,
LQVZ,chlü(ü)be,,
LRMP,chlemme,,
LSIS,zwänggu/-e_zwenggu/-e,,
LTAQ,chlemme,,
LTSU,chlü(ü)be,,
LTSZ,chlü(ü)be,,
LVGN,chlemme,,
LVXL,NA,,"kein wort, bloge am ehesten"
LWCO,SDATS_kneife,,
LYFW,chlemme,,chlemmene
LZBT,chlemme,,
LZBW,chlü(ü)be,,
MAQI,chlömme,,
MAXS,chnüüble,,
MBKO,chlempe,,
MBVT,chlemme,,
MCEZ,SDATS_zwicke/zwigge,,zwicke
MCJN,chlemme,,
MCMB,zwäärge,,
MCQO,chlempe,,
MEFD,chnüüble,,
MEWO,SDATS_kneife,,
MGNO,SDATS_zwicke/zwigge,,zwicke
MHUD,chlempe,,
MHXW,chlü(ü)be,,
MIDF,chlemme,,
MIEI,chlimse,,
MIIK,chlü(ü)be,,
MIXG,chlemme,,
MJKM,chlü(ü)be,,
MKDC,zwänggu/-e_zwenggu/-e,,
MLPB,chlempe,,
MNJJ,chlemme,,
MOCP,chlü(ü)be,,
MOHG,pfätze,,
MPDX,chlü(ü)be,,
MQDQ,chlempe,,
MRDQ,chlempe,,
MSCO,chlemme,,
MSOH,zwänggu/-e_zwenggu/-e,,
MWVG,chlemme,,
MXCL,chlempe,,
MXDT,chlü(ü)be,,
MXJS,SDATS_kneife,,
MYXS,SDATS_kneife,chlü(ü)be,zwicke
NDVI,zwänggu/-e_zwenggu/-e,,
NDWO,chlü(ü)be,,
NDZV,chlemme,,
NEIS,chlemme,,
NFNF,chlemme,,
NGPR,SDATS_kneife,,
NHCM,chlempe,,
NIAP,chlemme,,
NIDZ,chlü(ü)pe,,
NIHI,chlü(ü)be,,
NJTA,chlemme,,
NLQP,chlimse,,
NMCH,chlü(ü)be,,
NMUE,zwänggu/-e_zwenggu/-e,,
