UID,V1,V2,COMMENTS
RBLS,puppe,,
RBOG,puppe,,
RCDF,bääbi,,
RCFR,puppe,,
RCWY,puppe,,erstes p aspiriert
RDTE,bääbi,,
RGML,poppe,,
RGSE,puppe,,
RHJX,bääbi,,
RHWR,bääbi,,
RHYD,SDATS_mousa,,
RIOS,bääbi,,
RJVT,bääbi,,
RLFX,titti,,
RLZK,poppe,,poppa
RMKN,bääbi,,
RMNW,baabe,,
RMYB,bääbi,,
RMZZ,bääbi,,
RNEW,bääbi,,
RNLY,puppe,,
ROMW,bääbi,,
ROPY,puppe,,
ROYT,bääbi,,
RQHU,bääbi,,
RQJR,SDATS_mousa,,
RRAU,bääbi,,
RRDW,bääbi,,
RRUY,puppi,,
RRWK,bääbi,,
RSUK,SDATS_mousa,,
RVHZ,puppe,,puppa
RVPF,bääbi,,
RWZQ,puppe,,
RXAO,bääbi,,
RXJS,puppe,,
RXSC,bääbi,,
RYDG,bääbi,,
RZKH,puppe,,
SATI,bääbi,,
SAUU,bääbi,,
SBMK,puppe,,puppa
SCON,bääbi,,
SCTT,bääbi,,
SDOI,bääbi,,
SDYX,bääbi,,
SDYY,puppe,,
SFID,bääbi,,
SFSY,bääbi,,
SHDQ,bääbi,,
SHOU,bääbi,,
SIBL,puppe,,
SION,bääbi,tocha_tochu_toche,
SJVF,bääbi,,
SKNK,puppe,,
SLLT,bääbi,,
SNDV,bääbi,,
SOKG,puppi,,
SOZJ,puppe,,
SPBA,bääbi,,
SPCF,baabe,,
SPYB,bääbi,,
SQAT,bääbi,,
SRJK,puppe,,
SSQE,puppe,,
SSZQ,baabe,,
STGG,puppe,,puppa
STIG,bääbi,,
STWW,bääbi,,
SUKO,bääbi,,
SUPE,bääbi,,
SWXV,bääbi,,
SXAH,baabe,,
SXHP,bääbi,,
SXMH,bääbi,,
SXOS,bääbi,,
SYIN,puppe,,
SYWQ,bääbi,,
SYZH,bääbi,,
SZYP,SDATS_mousa,,
TASM,puppeli,,
TBJW,puppe,,
TCBP,bääbi,titti,
TFBR,bääbi,,
TFRP,puppe,,puppa
TFUD,bääbi,,
TGFZ,puppe,,puppa
THZB,titti,,
TIBD,bääbi,,
TIBR,puppe,,
TIDA,puppe,,
TIEX,puppe,,
TIKO,bääbi,,
TIVM,bääbi,,
TIXC,bääbi,,
TKJD,tocha_tochu_toche,,
TMAV,puppe,,
TMQT,baabe,,
TMYB,bääbi,,
TNUQ,bääbi,,
TPJS,bääbi,,
TPQP,puppe,,
TPTK,bääbi,,
TPVA,puppe,,
TQKV,baabe,,
TRDS,baabe,,babe (kurzes a)
TRYJ,puppe,,puppa
TSAA,bääbi,,
TSPB,bääbi,,
TTFI,bääbi,,
TTIS,bääbi,,
TTOF,puppe,,
TUEM,bääbi,,
TUNJ,puppe,,
TUSD,bääbi,,
TUZA,puppe,,
TVAU,puppe,,
TVET,puppe,,
TVKA,bääbi,,
TVYF,bääbi,,
TVZQ,puppe,,
TWDN,bääbi,,
TWOR,puppe,,
TYCF,puppe,,
TYEY,tocha_tochu_toche,,
UAFK,bääbi,,
UBKB,bääbi,,
UCAX,tocha_tochu_toche,,tuchi
UDTD,bääbi,,
UDXP,titti,,
UFAM,bääbi,,
UFDY,bääbi,,
UGBP,baabe,,
UGGO,puppe,,
UGYQ,bääbi,,
UHTS,bääbi,,
UICW,puppe,,puppa
UIHT,bääbi,,
UKEJ,puppe,,
ULLP,baabe,,
UMFL,bääbi,,
UNOI,bääbi,,
UOAT,puppe,,
UOSS,bääbi,,
UPAW,puppe,,puppa
UQJA,puppe,,puppa
UQKW,bääbi,,
URJL,bääbi,,
USUU,titti,,
UUCL,bääbi,,
UVIA,bääbi,,
UWMU,bääbi,,
UWOZ,SDATS_bääbitoggel,,
UWSQ,bääbi,,
UXEI,puppe,,
UZPN,bääbi,,
VATG,bääbi,,
VBQG,bääbi,,
VCMZ,puppe,,
VCZR,bääbi,,
VEKJ,bääbi,,
VETL,baabe,,
VFBX,baabe,,
VFEX,bääbi,,
VFKD,puppe,,
VFLN,bääbi,,
VGMD,puppe,,
VGXK,SDATS_peppi,,
VHUA,puppe,,puppa
VIKF,bääbi,,
VITE,puppe,,
VIVS,titteli,,
VJUZ,baabe,,
VJVC,bääbi,,
VJYT,titti,,stofftitti
VLFD,bääbi,,
VMPG,puppe,,
VMXT,puppe,,
VNQO,bääbi,,
VOVJ,bääbi,,
VOXQ,puppeli,,poppeli
VOZO,puppe,,
VPSN,bääbi,,
VQED,puppe,,
VQVH,titti,,
VRIT,puppe,,
VRKE,puppe,,
VRSA,bääbi,,
VRST,puppe,,
VSXG,puppe,,puppa
VTEA,titti,,
VUCU,puppe,,
VUJO,puppe,bääbi,
VUTP,bääbi,,
VUYF,bääbi,,
VVAO,titti,,
VWOO,puppe,,
VXQH,bääbeli,,
VYVF,puppe,,
VZZC,bääbi,,
WBHX,bääbi,,
WCAR,bääbi,,
WCPR,bääbi,,
WCWE,puppe,,
WDZS,puppe,,
WFDO,puppe,,
WFQK,bääbi,,
WGFT,tocha_tochu_toche,puppe,puppa
WHVY,bääbi,,
WIAS,SDATS_mousa,,
WIWF,puppe,,
WJHB,poppe,,
WJWW,puppe,,
WKBB,puppe,,
WLOX,puppi,,
WNIY,poppe,,
WNMA,bääbi,,bebi
WOZO,bääbi,,
WRWX,bääbi,,
WSZF,bääbi,,
WTEK,bääbi,,
WUCN,puppe,,puppa
WUEY,bääbi,,
WUQD,puppe,,puppa
WVLP,bääbeli,,
WVTO,bääbi,,
WYIV,puppe,,
XAEL,puppe,,puppa
XBSQ,tocha_tochu_toche,,
XCEL,baabe,,
XCIM,puppe,,
XDBM,bääbi,,
XDIE,puppe,,puppa
XDYX,bääbi,,
XEKM,puppe,,
XEUG,puppe,,
XGAA,bääbi,,
XIOT,bääbi,,
XIUW,puppe,,
XIWJ,bääbi,,
XIXL,puppe,,
XJVW,bääbi,,
XMFF,SDATS_peppi,,(tüech)peppi
XMXO,bääbi,,
XMZW,puppe,,puppa
XNAU,puppe,,
XNEG,bääbi,,
XNJP,bääbi,,
XNVQ,bääbi,,
XOHE,puppe,,
XOIQ,bääbi,,
XPCV,titti,,
XPMD,bääbi,,
XQGF,bääbi,,
XQYH,bääbi,,
XRIV,bääbi,,
XSVA,puppe,,
XSXQ,bääbi,,
XTPT,puppe,,
XTSM,bääbi,,
XUAK,puppe,,
XVBP,baabeli,,
XVHT,bääbi,,
XVRH,bääbi,,
XVTI,puppe,,
XVXT,bääbi,,
XXCT,puppe,,
XYCB,bääbi,,
XYEE,bääbi,,
XYEK,bääbi,,
XYMB,bääbi,,
XZKG,poppe,,
YBWQ,bääbi,,
YCXF,bääbi,,
YDIO,bääbi,,
YDPY,bääbi,,beebi
YDQV,puppe,,puppa
YDSB,puppe,,puppa
YECE,puppe,,
YELS,bääbe,,bääba
YFEF,bääbi,,
YFQM,bääbi,,
YFTY,bääbi,,
YGDB,bääbe,,bääba
YGDZ,bääbi,,
YGIV,puppe,,
YGXH,bääbe,,bääba
YGYR,bääbi,,
YHSV,puppe,,
YIIZ,bääbi,,
YIKI,puppe,,
YIRI,puppe,,
YJHC,bääbi,,
YJSI,bääbi,,
YKFP,puppe,,
YLOG,puppe,,puppa
YLYK,puppe,,
YMLU,puppe,,
YMTU,bääbeli,,
YNDU,puppe,,
YOFQ,bääbi,,
YOGB,puppe,,
YPDC,baabe,,
YPWC,puppe,,
YQIB,bääbi,,
YRCD,bääbi,,
YRWJ,bääbi,,
YRYC,bääbi,bääbeli,
YUAF,puppe,,
YVTX,bääbi,,
YXMA,bääbi,,
YXRN,bääbi,,
YYYI,bääbeli,,
YZVT,puppe,,
YZZH,bääbi,,
ZAAX,bääbi,,
ZAHZ,bääbi,,
ZBAS,bääbi,,
ZCEZ,NA,,teddybär
ZCNV,bääbi,,
ZCOU,bääbi,,
ZDGL,bääbi,,
ZEWN,puppe,,puppa
ZFDB,puppi,,
ZFMD,bääbi,,
ZFOJ,puppe,,
ZFWF,bääbi,,
ZGBL,puppe,,
ZGNM,puppi,,
ZGQY,baabe,,
ZGYT,bääbi,,
ZHCJ,bääbi,,
ZHRR,puppe,,
ZIOD,puppe,,
ZISL,bääbi,,
ZJFT,bääbi,,
ZJOB,puppe,,
ZKCK,bääbi,,beebi
ZKMF,puppe,,
ZKZN,bääbeli,,
ZLFM,bääbi,,
ZLKX,bääbi,,
ZLZD,puppe,,
ZMCX,puppe,,puppa
ZOLO,bääbi,,
ZPCZ,bääbi,,
ZPGU,titti,,
ZPMN,puppe,,
ZPWK,bääbi,,
ZPWZ,bääbi,,
ZQMH,NA,,plüschtierli
ZQTC,bääbi,,
ZRRB,bääbi,,
ZRWA,puppe,,puppa
ZSMF,bääbi,,
ZTBJ,bääbi,,
ZTLY,bääbi,,
ZUYN,bääbi,,beebi
ZVDJ,baabe,,
ZVMY,bääbi,,
ZVYB,bääbi,,
ZWLT,puppe,,
ZXKI,puppe,bääbi,beebi
ZYHQ,bääbi,,
ZYKF,bääbi,bääbe,schtretschbääba
ZZSM,poppi,,
