UID,V1,V2,COMMENTS
FGTI,leicht verdumpftes a [ɑ̹],,
FHSY,sehr helles a [a],,
FIBD,stark verdumpftes a [ɒ],,
FIKU,leicht verdumpftes a [ɑ̹],,
FJCF,neutrales a [ɑ],,
FJHI,neutrales a [ɑ],,
FJJI,stark verdumpftes a [ɒ],,
FJTV,leicht verdumpftes a [ɑ̹],,
FLCV,sehr helles a [a],,
FLKN,neutrales a [ɑ],,
FMFX,neutrales a [ɑ],,
FMHR,sehr helles a [a],,
FMOO,sehr helles a [a],,
FNGR,sehr helles a [a],,
FNUF,neutrales a [ɑ],,
FNVT,stark verdumpftes a [ɒ],,
FONZ,leicht verdumpftes a [ɑ̹],,
FOPS,neutrales a [ɑ],,
FPFX,sehr helles a [a],,
FPKO,neutrales a [ɑ],,
FPZN,leicht verdumpftes a [ɑ̹],,
FQAF,leicht verdumpftes a [ɑ̹],,
FQWL,neutrales a [ɑ],,
FQYS,neutrales a [ɑ],,
FRBT,neutrales a [ɑ],,
FRFQ,leicht verdumpftes a [ɑ̹],,
FRWW,neutrales a [ɑ],,
FSTE,neutrales a [ɑ],,
FSUY,neutrales a [ɑ],,
FSWB,neutrales a [ɑ],,
FTDY,leicht verdumpftes a [ɑ̹],,
FTFT,leicht verdumpftes a [ɑ̹],,
FVIK,NA,,leeres audio
FVIZ,neutrales a [ɑ],,
FVTU,leicht verdumpftes a [ɑ̹],,
FWAG,stark verdumpftes a [ɒ],,
FWND,leicht verdumpftes a [ɑ̹],,
FXCQ,stark verdumpftes a [ɒ],,
FXKN,neutrales a [ɑ],,
FYQI,sehr helles a [a],,
FZPW,stark verdumpftes a [ɒ],,
GAUD,neutrales a [ɑ],,
GAZV,leicht verdumpftes a [ɑ̹],,
GBTH,neutrales a [ɑ],,
GDJE,leicht verdumpftes a [ɑ̹],,
GFKH,stark verdumpftes a [ɒ],,
GFPM,neutrales a [ɑ],,
GFYZ,stark verdumpftes a [ɒ],,
GGLE,sehr helles a [a],,
GGSX,sehr helles a [a],,
GHGD,neutrales a [ɑ],,
GHLF,leicht verdumpftes a [ɑ̹],,
GHMK,leicht verdumpftes a [ɑ̹],,
GHXY,stark verdumpftes a [ɒ],,
GIIR,stark verdumpftes a [ɒ],,
GIOH,sehr helles a [a],,
GIQG,leicht verdumpftes a [ɑ̹],,
GIWV,stark verdumpftes a [ɒ],,
GJCI,leicht verdumpftes a [ɑ̹],,
GKBE,neutrales a [ɑ],,
GKBV,neutrales a [ɑ],,
GMMO,neutrales a [ɑ],,
GMWW,leicht verdumpftes a [ɑ̹],,
GNBU,neutrales a [ɑ],,
GNMQ,neutrales a [ɑ],,
GOAU,neutrales a [ɑ],,
GOLW,stark verdumpftes a [ɒ],,
GOOB,leicht verdumpftes a [ɑ̹],,
GOQI,neutrales a [ɑ],,
GOSY,sehr helles a [a],,
GOYC,leicht verdumpftes a [ɑ̹],,
GPAK,neutrales a [ɑ],,
GPGA,sehr helles a [a],,
GRAR,neutrales a [ɑ],,
GRPJ,neutrales a [ɑ],,
GSLS,neutrales a [ɑ],,
GUTF,leicht verdumpftes a [ɑ̹],,
GVNN,leicht verdumpftes a [ɑ̹],,
GVUS,stark verdumpftes a [ɒ],,
GWOX,leicht verdumpftes a [ɑ̹],,
GXEB,stark verdumpftes a [ɒ],,
GYBZ,neutrales a [ɑ],,
GYUD,sehr helles a [a],,
GZMD,leicht verdumpftes a [ɑ̹],,
HBBQ,leicht verdumpftes a [ɑ̹],,
HCIF,neutrales a [ɑ],,
HDLV,neutrales a [ɑ],,
HDNF,sehr helles a [a],,
HEHU,sehr helles a [a],,
HEVH,leicht verdumpftes a [ɑ̹],,
HFCS,stark verdumpftes a [ɒ],,
HFSV,neutrales a [ɑ],,
HGBP,sehr helles a [a],,
HGYK,leicht verdumpftes a [ɑ̹],,
HHHE,leicht verdumpftes a [ɑ̹],,
HIGZ,sehr helles a [a],,
HKRF,sehr helles a [a],,
HLFM,stark verdumpftes a [ɒ],,
HMXR,neutrales a [ɑ],,
HPNB,leicht verdumpftes a [ɑ̹],,
HPYW,leicht verdumpftes a [ɑ̹],,
HQPB,stark verdumpftes a [ɒ],,
HUBI,neutrales a [ɑ],,
HUDO,sehr helles a [a],,
HUYI,leicht verdumpftes a [ɑ̹],,
HVLO,sehr helles a [a],,
HWDZ,stark verdumpftes a [ɒ],,
HWOL,neutrales a [ɑ],,
HWTX,leicht verdumpftes a [ɑ̹],,
HWYK,stark verdumpftes a [ɒ],,
HXHY,stark verdumpftes a [ɒ],,
HXVS,neutrales a [ɑ],,
HXZZ,leicht verdumpftes a [ɑ̹],,
HZBG,neutrales a [ɑ],,
HZRN,sehr helles a [a],,
HZVF,leicht verdumpftes a [ɑ̹],,
IATI,leicht verdumpftes a [ɑ̹],,
IBYY,sehr helles a [a],,
IDFP,stark verdumpftes a [ɒ],,
IEEA,sehr helles a [a],,
IGCP,sehr helles a [a],,
IGVA,stark verdumpftes a [ɒ],,
IHIF,leicht verdumpftes a [ɑ̹],,
IJMG,neutrales a [ɑ],,
IJQQ,neutrales a [ɑ],,
IKHY,leicht verdumpftes a [ɑ̹],,
IKIA,sehr helles a [a],,
IKNR,neutrales a [ɑ],,
IMMC,stark verdumpftes a [ɒ],,
IMST,neutrales a [ɑ],,
INBX,sehr helles a [a],,
IOCC,leicht verdumpftes a [ɑ̹],,
IOSV,leicht verdumpftes a [ɑ̹],,
IPCB,stark verdumpftes a [ɒ],,
IPHH,neutrales a [ɑ],,
IPJN,neutrales a [ɑ],,
IPMA,sehr helles a [a],,
IPQX,neutrales a [ɑ],,
ISAE,leicht verdumpftes a [ɑ̹],,
ISEJ,neutrales a [ɑ],,
ISGL,leicht verdumpftes a [ɑ̹],,
IVZI,neutrales a [ɑ],,
IXKM,neutrales a [ɑ],,
IXXR,neutrales a [ɑ],,
IZNJ,sehr helles a [a],,
IZSQ,neutrales a [ɑ],,
JAGZ,leicht verdumpftes a [ɑ̹],,
JASL,sehr helles a [a],,
JAXC,neutrales a [ɑ],,
JBIL,neutrales a [ɑ],,
JCQC,sehr helles a [a],,
JDKE,neutrales a [ɑ],,
JDOB,sehr helles a [a],,
JEAL,stark verdumpftes a [ɒ],,
JEAO,leicht verdumpftes a [ɑ̹],,
JEUB,neutrales a [ɑ],,
JGLJ,neutrales a [ɑ],,
JGSK,leicht verdumpftes a [ɑ̹],,
JICI,neutrales a [ɑ],,
JIME,stark verdumpftes a [ɒ],,
JIQI,leicht verdumpftes a [ɑ̹],,
JIYA,sehr helles a [a],,
JKBX,neutrales a [ɑ],,
JKZM,neutrales a [ɑ],,
JLQZ,neutrales a [ɑ],,
JMOG,neutrales a [ɑ],,
JNDD,neutrales a [ɑ],,
JNLN,leicht verdumpftes a [ɑ̹],,
JOFB,neutrales a [ɑ],,
JPQE,leicht verdumpftes a [ɑ̹],,
JRME,neutrales a [ɑ],,
JSHF,leicht verdumpftes a [ɑ̹],,
JTEM,sehr helles a [a],,
JTPS,stark verdumpftes a [ɒ],,
JTVH,neutrales a [ɑ],,
JUIK,neutrales a [ɑ],,
JURN,neutrales a [ɑ],,
JVJL,leicht verdumpftes a [ɑ̹],,
JVOT,leicht verdumpftes a [ɑ̹],,
JXAT,neutrales a [ɑ],,
JXGS,leicht verdumpftes a [ɑ̹],,
JXIV,neutrales a [ɑ],,
KBMJ,neutrales a [ɑ],,
KCRZ,leicht verdumpftes a [ɑ̹],,
KCUO,neutrales a [ɑ],,
KDEU,leicht verdumpftes a [ɑ̹],,
KDRC,leicht verdumpftes a [ɑ̹],,
KDYB,stark verdumpftes a [ɒ],,
KEDM,stark verdumpftes a [ɒ],,
KEOL,stark verdumpftes a [ɒ],,
KEOY,neutrales a [ɑ],,
KETC,neutrales a [ɑ],,
KEZZ,leicht verdumpftes a [ɑ̹],,
KFFF,neutrales a [ɑ],,
KFQY,neutrales a [ɑ],,
KFTU,leicht verdumpftes a [ɑ̹],,
KFYD,sehr helles a [a],,
KHMQ,neutrales a [ɑ],,
KHPQ,leicht verdumpftes a [ɑ̹],,
KJEV,neutrales a [ɑ],,
KJNO,neutrales a [ɑ],,
KKHV,stark verdumpftes a [ɒ],,
KKTQ,neutrales a [ɑ],,
KLXL,leicht verdumpftes a [ɑ̹],,
KMII,neutrales a [ɑ],,
KNCA,sehr helles a [a],,
KNPB,leicht verdumpftes a [ɑ̹],,
KOOG,neutrales a [ɑ],,
KOQB,leicht verdumpftes a [ɑ̹],,
KORE,leicht verdumpftes a [ɑ̹],,
KPFH,leicht verdumpftes a [ɑ̹],,
KPHL,neutrales a [ɑ],,
KQWD,sehr helles a [a],,
KRKJ,stark verdumpftes a [ɒ],,
KRMJ,sehr helles a [a],,
KRZH,stark verdumpftes a [ɒ],,
KSJX,neutrales a [ɑ],,
KUGY,leicht verdumpftes a [ɑ̹],,
KUSC,leicht verdumpftes a [ɑ̹],,
KVDO,sehr helles a [a],,
KVYN,neutrales a [ɑ],,
KXNF,leicht verdumpftes a [ɑ̹],,
KYSI,leicht verdumpftes a [ɑ̹],,
KZCC,neutrales a [ɑ],,
LAKO,sehr helles a [a],,
LAKP,neutrales a [ɑ],,
LAOE,leicht verdumpftes a [ɑ̹],,
LAPG,stark verdumpftes a [ɒ],,
LAXN,neutrales a [ɑ],,
LBNN,leicht verdumpftes a [ɑ̹],,
LBVW,neutrales a [ɑ],,
LBYC,neutrales a [ɑ],,
LCNW,neutrales a [ɑ],,
LCXS,neutrales a [ɑ],,
LDAP,sehr helles a [a],,
LDNK,sehr helles a [a],,
LDXH,stark verdumpftes a [ɒ],,
LEDK,stark verdumpftes a [ɒ],,
LEGF,neutrales a [ɑ],,
LEJJ,neutrales a [ɑ],,
LFFD,sehr helles a [a],,
LHAU,sehr helles a [a],,
LHHT,leicht verdumpftes a [ɑ̹],,
LHTZ,neutrales a [ɑ],,
LIDX,leicht verdumpftes a [ɑ̹],,
LIPR,sehr helles a [a],,
LJIP,neutrales a [ɑ],,
LLBP,leicht verdumpftes a [ɑ̹],,
LLNV,neutrales a [ɑ],,
LMVO,stark verdumpftes a [ɒ],,
LOCO,neutrales a [ɑ],,
LOFY,neutrales a [ɑ],,
LOHZ,neutrales a [ɑ],,
LPNE,neutrales a [ɑ],,
LQUM,neutrales a [ɑ],,
LQVZ,sehr helles a [a],,
LRMP,neutrales a [ɑ],,
