UID,V1,V2,COMMENTS
GRAR,Bitschgi,,
GRPJ,Bitzgi,,
GSLS,Gröibschi,,
GUTF,Gige(r)tschi,,
GVNN,Bitschgi,,
GVUS,Chääre,,öpfuchääre
GWOX,Bitschgi,,
GXEB,0_NA,,
GYBZ,Bätzgi,,
GYUD,Bitzgi,,
GZMD,SDATS_Räscht(e),,
HBBQ,Giegi,,Giegi
HCIF,Grübschi,,
HDLV,Bütschgi,,öpfelbütschgi
HDNF,Bitschgi,,
HEHU,Bitzgi,,
HEVH,Bütschgi,,
HFCS,Chääre,,
HFSV,Gröibschi,,
HGBP,Bitschgi,,
HGYK,Bitschgi,,
HHHE,SDATS_Buschi ,,
HIGZ,Bitzgi,,
HKRF,Bitzgi,,
HLFM,Bätzgi,,
HMXR,Gröibschi,,
HPNB,Bütschgi,,
HPYW,Bätzi,,
HQPB,Bätzi,,Batz
HUBI,Gige(r)tschi,,
HUDO,Bitzgi,,
HUYI,Gröitschi,,
HVLO,Bitschgi,,
HWDZ,Bütschgi,,
HWOL,Gige(r)tschi,,
HWTX,Bätzi,,
HWYK,Bütschgi,,
HXHY,SDATS_Gütschgi,,
HXVS,Gige(r)tschi,,
HXZZ,Bitschgi,,
HZBG,Gröibschi,,
HZRN,Bitzgi,,
HZVF,Grübschi,,Gribschi
IATI,Bütschgi,,
IBYY,Bitzgi,,
IDFP,SDATS_Pfuschi,,
IEEA,Bitschgi,,
IGCP,Bitzgi,,
IGVA,SDATS_Grotz,,
IHIF,Bütschgi,,
IJMG,SDATS_Grigel,,
IJQQ,Bütschgi,,
IKHY,Bütschgi,,öpfelbütschgi
IKIA,Bitschgi,,
IKNR,Grübschi,,
IMMC,Chääre,,chärna
IMST,Gröibschi,,
INBX,Bitzgi,,öpfelbitzgi
CYKL,Gröibschi,,
IOCC,Gröibschi,,
IOSV,Bätzgi,,
IPCB,0_NA,,
IPHH,Gige(r)tschi,,
IPJN,Bitzgi,,
IPMA,Bitschgi,,
IPQX,Bütschgi,,
ISAE,Gröibschi,,
ISEJ,Bitzgi,,
ISGL,Bütschgi,,
IVZI,Bütschgi,,
IXKM,Gröibschi,,
IXXR,SDATS_Chnäschi,,epfelchnäschi
IZNJ,Bitschgi,,
IZSQ,Bitschgi,,
JAGZ,Gröibschi,,
JASL,Bitzgi,,
JAXC,Bitschgi,,
JBIL,Bütschgi,,
JCQC,Bitzgi,,
JDKE,Bitzgi,,
JDOB,Bitzgi,,
JEAL,Gröibschi,,Grööbschi
JEAO,Bütschgi,,
JEUB,Bützgi,,
JGLJ,Giegi,,öpfelgiegi
JGSK,Bütschgi,,
JICI,Bütschgi,,öpfelbütschgi
JIME,SDATS_Stirzl,,
JIQI,Bütschgi,,
JIYA,Bitzgi,,
JKBX,Üürbsi,,
JKZM,Güürbsi,,
JLQZ,Güürbsi,,
JMOG,Grübschi,,
JNDD,Grübschi,,
JNLN,Gröibschi,,
JOFB,Bütschgi,,
JPQE,Bätzi,,
JRME,Bitschgi,,
JSHF,Bütschgi,,
JTEM,Bitzgi,,
JTPS,Bütschgi,,
JTVH,Gröitschi,,
JUIK,Bütschgi,,
JURN,Gröitschi,,Greytschi
JVJL,Üürbsi,,
JVOT,Bätzi,,Batzi
JXAT,Gröibschi,,
JXGS,Bütschgi,,
JXIV,Gröitschi,,
KBMJ,Grübschi,,
KCRZ,Bütschgi,,
KCUO,Grübschi,,Gribschi
KDEU,Grübschi,,Grebschi
KDRC,Bätschgi,,Bätschi
KDYB,SDATS_Buschi ,,
KEDM,Bitzgi,,
KEOL,Bütschgi,,
KEOY,Gröibschi,,
KETC,Bütschgi,,
KEZZ,Bütschgi,,
KFFF,Gröibschi,,
KFQY,Üürbsi,,
KFTU,SDATS_Mütschgi,,
KFYD,Bütschgi,,
KHMQ,SDATS_Grigel,,
KHPQ,Bütschgi,,
KJEV,Bütschgi,,
KJNO,Gröibschi,,
KKHV,Gröibschi,,
KKTQ,Gröibschi,,
KLXL,Bütschgi,,
KMII,Gröibschi,,
KNCA,Bitzgi,,
KNPB,Bütschgi,,
KOOG,Bitschgi,,
KOQB,Bütschgi,,
KORE,Bitzgi,,
KPFH,Bütschgi,,
KPHL,Bütschgi,,
KQWD,Bütschgi,,
KRKJ,Bitschgi,,
KRMJ,Bitzgi,,
KRZH,Bütschgi,,
KSJX,Gröitschi,,
KUGY,Bütschgi,,
KUSC,Güürbsi,,
KVDO,Bitschgi,,
KVYN,Bütschgi,,
KXNF,SDATS_Gütschgi,,
KYSI,Bütschgi,,
KZCC,Gige(r)tschi,,
LAKO,Bitschgi,,
LAKP,Bütschgi,,
LAOE,Bätzgi,,
LAPG,Bütschgi,,
LAXN,Bitschgi,,
LBNN,Bitschgi,,
LBVW,Grübschi,,
LBYC,0_NA,Bütschgi,
LCNW,Güürbsi,,
LCXS,Bitschgi,,
LDAP,Bitzgi,,
LDNK,Bitzgi,,
LDXH,Bütschgi,,
LEDK,Bütschgi,,
LEGF,Bätzi,,
LEJJ,Bütschgi,,
LFFD,Bitzgi,,
LHAU,Bitzgi,,
LHHT,Bütschgi,,
LHTZ,Gröibschi,,
LIDX,Bütschgi,,
LIPR,Bitzgi,,
LJIP,Bätzgi,,
LLBP,Bütschgi,,
LLNV,Gige(r)tschi,,
LMVO,Bütschgi,,
LOCO,Gige(r)tschi,,
LOFY,Grübschi,,
LOHZ,Gröitschi,,
LPNE,Bätzgi,,
LQUM,Bätzi,,
LQVZ,Bitzgi,,
LRMP,Bätzgi,,
LSIS,SDATS_Grotz,,
LTAQ,Bütschgi,,
LTSU,Bitzgi,,
LTSZ,Bitzgi,,
LVGN,Gröibschi,,
LVXL,Güürbsi,,
LWCO,0_NA,,
LYFW,Gröibschi,,
LZBT,Bätzi,,
LZBW,Bitschgi,,
MAQI,Gige(r)tschi,,
MAXS,Bütschgi,,
MBKO,Grübschi,,
MBVT,Gröibschi,,
MCEZ,Bitschgi,,
MCJN,Bütschgi,,
MCMB,Hüschtschi,,
MCQO,Grübschi,,
MEFD,Bütschgi,,
MEWO,Bütschgi,,
MGNO,Bütschgi,,
MHUD,Bitschgi,,
MHXW,Bitschgi,,öpfelbitschgi 
MIDF,Gige(r)tschi,,
MIEI,Bitschgi,,
MIIK,Bitzgi,,
MIXG,Güürbsi,,
MJKM,Gütschi,,
MKDC,SDATS_Chnäschi,,
MLPB,Grübschi,,
MNJJ,Gige(r)tschi,,
MOCP,Bitzgi,,
MOHG,Bitschgi,,
MPDX,Bitschgi,,
MQDQ,Gröitschi,,
MRDQ,Grübschi,,
MSCO,Gröibschi,,
MSOH,SDATS_Buschi ,,das sind nur die kernen 
MWVG,Bützgi,,
MXCL,Bitschgi,,
MXDT,Bitschgi,,
MXJS,Gröitschi,,Grütschi
MYXS,Bitzgi,,
NDVI,SDATS_Gnagi,,
NDWO,Buschgi,,
NDZV,Üürbsi,,
NEIS,Bitzgi,,
NFNF,Bätzi,,
NGPR,Bütschgi,,
NHCM,Grübschi,,
NIAP,Gröibschi,,
NIDZ,Bitschgi,,
NIHI,Bitzgi,,
NJTA,Bürzi,,birzi
NLQP,Bätzi,,
NMCH,Bitzgi,,
NMUE,Bätschgi,,Bätschi
NMZI,SDATS_Buschi ,,
NNHI,Gige(r)tschi,,
NNPH,Bitzgi,,
NOMA,Bütschgi,,
NOQT,Bitzgi,,
NPFH,SDATS_Buschi ,,
NPQC,Grübschi,,
NQPL,Grübschi,,
NSBJ,Bätzi,,
NUCN,Gröibschi,,
NUHA,Bütschgi,,
NUYJ,Bütschgi,,
NVYG,Bitzgi,,
NWFD,Bitzgi,,öpfelbitzgi 
NWTU,Gige(r)tschi,,
NXDG,Bitschgi,,
NYTH,Bitschgi,,
NZQW,Bitzgi,,
OASX,Bütschgi,Bitschgi,
OBMP,Bütschgi,,
OCBC,Gröitschi,,
ODPT,SDATS_Räscht(e),,äpfelräscht
OEAH,Bütschgi,,
OEZX,Bütschgi,,
OFCF,Bütschgi,,
OFFV,Gröibschi,,
OFQQ,Bitschgi,,
OFXV,Gige(r)tschi,,
OGPV,Grübschi,,
OGQG,Bütschgi,,
OHPG,SDATS_Buschi ,,
OIDW,Grübschi,,
OKGR,Grübschi,,
OKOZ,Gröibschi,,
OKWW,Bitschgi,,
OLBL,SDATS_Grotz,,
OLQM,Bütschgi,,
OOMM,Bütschgi,,
OPGH,Bätzi,,
ORGN,Bätzi,,
ORWP,Bitschgi,,
ORZF,Bätzi,,
ORZO,Bütschgi,,
OSIL,Bütschgi,,
OTGL,Grübschi,,
OTKB,Bitschgi,,
OUQD,Bütschgi,,öpfelbütschgi
OUZE,Grübschi,,
OWGL,Bütschgi,,
OWIM,Grübschi,,
OYFQ,Bütschgi,,
OYUZ,Bütschgi,,
OYYZ,Gige(r)tschi,,
OZSY,Gige(r)tschi,,
PCJF,Bitschgi,,
PCMF,Bütschgi,,
PCNX,Bitzgi,,
PDLD,Gröitschi,,
PEAV,Bütschgi,,
PGMA,SDATS_Buschi ,,
PIVE,Bütschgi,,
PJCV,Bütschgi,,
PLSP,Gütschi,,
PMBH,Üürbsi,,
PMLQ,Bütschgi,,
PQFD,Bütschgi,,öpfelbütschgi
PRTT,Gütschi,,
PTMF,Gröitschi,,
PWBS,Güürbsi,,
PWRG,SDATS_Räscht(e),,
PXDH,Güürbsi,,güebschi (gürbschi?)
PXYB,Bütschgi,,
PYDG,Bitschgi,,
PYRT,Bütschgi,,
PZKU,Bütschgi,,
QAMI,Bätzgi,,Batzgi
QBCZ,Bitschgi,,
QBYH,Bütschgi,,
QDBA,Ghüüs,,
QDCG,Gige(r)tschi,,
QDGR,SDATS_Gütschgi,,
QDGV,Bätzi,,
QEOR,Bätschgi,,Bätschi
QFCD,Bitzgi,,öpfelbitzgi 
QFPK,Bitschgi,,
QGPN,Bütschgi,,
QKEJ,Grübschi,,Gribschi
QKJG,Bitschgi,,
QKOW,Bütschgi,,
QKPX,Bitzgi,,
QMBF,Grübschi,,
QMGE,Grübschi,,Gribschi
QMNB,Gröitschi,,
QNPX,Bitzgi,,
QNXD,Bütschgi,,
QOOD,Üürbsi,,
QOST,Grübschi,,
QQKY,Bitzgi,,
QRRJ,Bitzgi,,Bitzi
QSIC,Gröitschi,,
QVTY,Bitzgi,,
QVWW,Bitzgi,,
QVXX,Bitschgi,,
QVYB,Bätzi,,
QVYF,Bütschgi,,
QWZT,Gröibschi,,
QXIH,Güürbsi,,
QYGT,Bätschgi,,Bätschi
QZDY,Gröitschi,,
QZEX,Bitzgi,,
RAJQ,Bitschgi,,
RAKP,Güürbsi,,
RATN,Bütschgi,,
RBLS,Bütschgi,,
RBOG,SDATS_Buschi ,,
RCDF,Bätzi,,
RCFR,Bitzgi,,
RCWY,Bitzgi,,
RDTE,Bitschgi,,
RGML,Bitschgi,,
RGSE,Bütschgi,,
RHJX,Bütschgi,,
RHWR,Bütschgi,,
RHYD,Grübschi,,
RIOS,Bitzgi,,
RJVT,Bitschgi,,
RLFX,Bitschgi,,
RLZK,Bitschgi,,
RMKN,Bütschgi,,
RMNW,Bitzgi,,
RMYB,Güürbsi,,
RMZZ,Bätzgi,,epfubätzgi
RNEW,Gröitschi,,
RNLY,Bitzgi,,
ROMW,Gütschi,,
ROPY,Bütschgi,,
ROYT,Gröitschi,,
RQHU,Gröibschi,,
RQJR,Grübschi,,
RRAU,Gröibschi,,
RRDW,Grübschi,,
RRUY,Giegi,,Giegi
RRWK,Bütschgi,,
RSUK,Grübschi,,
RVHZ,Bütschgi,,
RVPF,Grübschi,,Gribschi
RWZQ,Bütschgi,,
RXAO,Grübschi,,
RXJS,Bitzgi,,
RXSC,Bütschgi,,
RYDG,Gröibschi,,
RZKH,SDATS_Räscht(e),,
SATI,Güürbsi,,görbsi
SAUU,Grübschi,,Gribschi
SBMK,SDATS_Buschi ,,
SCON,Gröibschi,,
SCTT,Güürbsi,,
SDOI,Gröibschi,,
SDYX,Gröibschi,,Gribschi
SDYY,Bütschgi,,
SFID,Gröibschi,,
SFSY,SDATS_Chnäschi,,Chäschi
SHDQ,Bütschgi,,
SHOU,Bätzi,,
SIBL,Bitschgi,,
SION,SDATS_Grotz,,
SJVF,SDATS_Birtschi,,
SKNK,Bitschgi,,
SLLT,Grübschi,,
SNDV,0_NA,,Birzchi (??) unverständlich
SOKG,Giegi,,Giegi
SOZJ,Bitzgi,,
SPBA,Gröitschi,,
SPCF,Bitschgi,,
SPYB,Bätzi,,
SQAT,Gröibschi,SDATS_Räscht(e),"""abgegessener Apfel"""
SRJK,Bitzgi,,
SSQE,0_NA,,kennt keinen ausdruck
SSZQ,Bitzgi,,
