UID,V1,V2,V3,COMMENTS
PMBH,pfütz-e,,,
PMLQ,glungge_glügge,,,
PQFD,gunt-e,,,
PRTT,bütz-e,,,
PTMF,glunte,,,
PWBS,SDATS_gluntsche,,,
PWRG,gille,,,
PXDH,pfütz-e,,,
PXYB,pfütz-e,,,
PYDG,pfütz-e,,,
PYRT,pfütz-e,,,
PZKU,gump-e,,,
QAMI,gump-e,,,
QBCZ,pfütz-e,,,
QBYH,gump-e,,,
QDBA,gille,,,spez. gillu
QDCG,glungge_glügge,,,
QDGR,pfütz-e,,,
QDGV,gump-e,,,
QEOR,gille,,,spez. Gillo
QFCD,gump-e,,,
QFPK,pfütz-e,,,
QGPN,pfütz-e,,,
QKEJ,glunte,,,
QKJG,pfütz-e,,,
QKOW,gunt-e,,,
QKPX,gunt-e,,,
QMBF,gunt-e,,,
QMGE,glunte,,,
QMNB,glunte,,,
QNPX,pfütz-e,,,
QNXD,pfütz-e,,,
QOOD,gumpi,,,
QOST,glunte,,,
QQKY,pfütz-e,,,
QRRJ,gunt-e,,,
QSIC,glunte,,,
QVTY,pfütz-e,,,
QVWW,pfütz-e,,,
QVXX,pfütz-e,,,
QVYB,glungge_glügge,,,
QVYF,butz,,,
QWZT,glungge_glügge,,,
QXIH,pfütz-e,,,
QYGT,gille,,,
QZDY,glungge_glügge,,,
QZEX,pfütz-e,,,
RAJQ,SDATS_bullia,,,
RAKP,pfütz-e,,,
RATN,pfütz-e,,,
RBLS,pfütz-e,,,
RBOG,gille,,,
RCDF,glungge_glügge,,,
RCFR,pfütz-e,,,
RCWY,gunt-e,,,
RDTE,pfütz-e,,,
RGML,gu-u-dle,,,
RGSE,pfütz-e,,,
RHJX,glungge_glügge,,,
RHWR,pfütz-e,,,
RHYD,pfütz-e,,,
RIOS,gunt-e,,,
RJVT,gunt-e,,,
RLFX,gille,,,
RLZK,gu-u-dle,,,
RMKN,glungge_glügge,,,
RMNW,pfütz-e,,,
RMYB,glungge_glügge,,,
RMZZ,pfütz-e,,,
RNEW,glungge_glügge,,,
RNLY,pfütz-e,,,
ROMW,pfütz-e,,,
ROPY,pfütz-e,,,
ROYT,glunte,,,
RQHU,pfütz-e,,,
RQJR,glunte,,,
RRAU,glungge_glügge,,,
RRDW,glunte,,,
RRUY,lache,,,
RRWK,gunt-e,,,
RSUK,glunte,,,
RVHZ,gump-e,,,
RVPF,glunte,,,
RWZQ,pfütz-e,,,
RXAO,pfütz-e,,,
RXJS,SDATS_bädere,,,
RXSC,glungge_glügge,,,
RYDG,glungge_glügge,,,
RZKH,pfütz-e,,,
SATI,pfütz-e,,,
SAUU,glunte,,,
SBMK,pfütz-e,,,
SCON,glungge_glügge,,,
SCTT,pfütz-e,,,
SDOI,glungge_glügge,,,
SDYX,glunte,,,
SDYY,gunt-e,,,
SFID,glungge_glügge,,,
SFSY,gille,,,
SHDQ,glungge_glügge,,,
SHOU,glunte,,,
SIBL,pfütz-e,,,
SION,gille,,,spez. gillu
SJVF,glunte,,,
SKNK,pfütz-e,,,
SLLT,bütz-e,,,
SNDV,glunte,,,
SOKG,glungge_glügge,,,
