UID,V1,V2,COMMENTS
NDVI,häärpfel,,häärpful
NDWO,härdöpfel,,
NDZV,härdöpfel,,
NEIS,härdöpfel,,
NFNF,härdöpfel,,
NGPR,härdöpfel,,
NHCM,härdöpfel,,
NIAP,härdöpfel,,
NIDZ,häppiir_häpiere,,
NIHI,härdöpfel,,
NJTA,härdepfel,,
NLQP,härdöpfel,,
NMCH,härdöpfel,,
NMUE,häärpfel,,
NMZI,häärpfel,,
NNHI,härdöpfel,,
NNPH,härdöpfel,,
NOMA,gumel(i),,
NOQT,härdöpfel,,
NPFH,häärpfel,,
NPQC,härdöpfel,,
NQPL,härdöpfel,,
NSBJ,häärpfel,,
NUCN,hädöpfel,,
NUHA,härdöpfel,,
NUYJ,härdöpfel,,
NVYG,härdöpfel,,
NWFD,höörpfel,,
NWTU,härdöpfel,,
NXDG,härdöpfel,,
NYTH,härdöpfel,,
NZQW,härdöpfel,,
OASX,gumel(i),,
OBMP,hädöpfel,,
OCBC,häppere,,häppera
ODPT,häärpfel,,
OEAH,härdöpfel,,
OEZX,härdöpfel,,
OFCF,gumel(i),,
OFFV,härdöpfel,,
OFQQ,härdöpfel,,
OFXV,härdöpfel,,
OGPV,härdöpfel,,
OGQG,hördöpfel,,
OHPG,häärpfel,,
OIDW,häbel,härdöpfel,
OKGR,härdöpfel,,
OKOZ,härdöpfel,,
OKWW,hördöpfel,,
OLBL,häärpfel,,
OLQM,härdöpfel,,
OOMM,härdöpfel,,
OPGH,härdöpfel,,
ORGN,häärpfel,,
ORWP,härdöpfel,,
ORZF,härdöpfel,,
ORZO,härdöpfel,,
OSIL,härdöpfel,,
OTGL,härdöpfel,,
OTKB,härdöpfel,,
OUQD,härdöpfel,,
OUZE,häbel,,
OWGL,härdöpfel,,
OWIM,härdöpfel,,
OYFQ,härdöpfel,,
OYUZ,häärpfel,,
OYYZ,härdöpfel,,
OZSY,härdöpfel,,
PCJF,härdöpfel,,
PCMF,hödöpfel,,
PCNX,härdöpfel,,
PDLD,häppere,,häppera
PEAV,härdöpfel,,
PGMA,häärpfel,,
PIVE,hördöpfel,,
PJCV,härdöpfel,,
PLSP,härdöpfel,,
PMBH,härdöpfel,,
PMLQ,hördöpfel,,
PQFD,hördöpfel,,
PRTT,härdöpfel,,
PTMF,SDATS_häröpfel,,
PWBS,härdöpfel,,
PWRG,häärpfel,,
PXDH,härdöpfel,,
PXYB,härdöpfel,,
PYDG,härdöpfel,,
PYRT,härdöpfel,,
PZKU,härdöpfel,,
QAMI,härdöpfel,,
QBCZ,härdöpfel,,
QBYH,härdöpfel,,
QDBA,häärpfel,,
QDCG,härtöpfel,,
QDGR,härdöpfel,,
QDGV,härdöpfel,,
QEOR,häärpfel,,
QFCD,härdöpfel,,
QFPK,härdöpfel,,
QGPN,gumel(i),,
QKEJ,härdepfel,,
QKJG,härdöpfel,,
QKOW,härdöpfel,,
QKPX,härdöpfel,,
QMBF,härdöpfel,,
QMGE,häärpfel,,
QMNB,häppere,,häppera
QNPX,härdöpfel,,
QNXD,hädöpfel,,
QOOD,härdöpfel,,
QOST,härdöpfel,,
QQKY,härdöpfel,,
QRRJ,härdepfel,,
QSIC,häppere,,
QVTY,härdöpfel,,
QVWW,härdöpfel,,
QVXX,härdöpfel,,
QVYB,härdöpfel,,
QVYF,härdöpfel,,
QWZT,härdöpfel,,
QXIH,härdöpfel,,
QYGT,häärpfel,,häärpfil
QZDY,hööröpfel,,
QZEX,härdöpfel,,
RAJQ,härdepfel,,
