UID,V1,V2,COMMENTS
KUSC,rügge,,
KVDO,rügg,,
KVYN,rügg,,
KXNF,rugge,,
KYSI,rugge,,
KZCC,rügge,,
LAKO,rugge,,
LAKP,rugge,,
LAOE,rigge,,
LAPG,rugge,,
LAXN,rügg,,
LBNN,rigge,,
LBVW,rügge,,
LBYC,rügge,,
LCNW,rügge,,
LCXS,rugge,,
LDAP,rugge,,
LDNK,rugge,,
LDXH,rugge,,
LEDK,rugge,,
LEGF,rügge,,
LEJJ,rugge,,
LFFD,rugge,,
LHAU,rugge,,
LHHT,rügge,,
LHTZ,rügge,,
LIDX,rügge,,
LIPR,rugge,,
LJIP,rügge,,
LLBP,rugge,,
LLNV,rügge,,
LMVO,rugge,,
LOCO,rügge,,
LOFY,rügge,,
LOHZ,rügg,,
LPNE,rügge,,
LQUM,rügge,,
LQVZ,rugge,,
LRMP,rügge,,
LSIS,rigg,,
LTAQ,rügge,,
LTSU,rugge,,
LTSZ,rugge,,
LVGN,rügge,,
LVXL,rügge,,
LWCO,rugge,,
LYFW,rigge,,
LZBT,rügge,,
LZBW,rugge,,
MAQI,rügge,,
MAXS,rügge,,
MBKO,rügge,,
MBVT,rügge,,
MCEZ,rigge,,
MCJN,rugge,,
MCMB,rigg,,
MCQO,rügge,,
MEFD,rugge,,
MEWO,rugge,,
MGNO,rügg,,
MHUD,rügg,,
MHXW,rugge,,
MIDF,rügge,,
MIEI,rügge,,
MIIK,rugge,,
MIXG,rügge,,
MJKM,rugge,,
MKDC,rigg,,
MLPB,rügge,,
MNJJ,rügge,,
MOCP,rugge,,
MOHG,rugge,,
MQDQ,rügge,,
MPDX,rugge,,
MRDQ,rügg,,
MSCO,rügge,,
MSOH,rigg,,
MWVG,rugge,,
MXCL,rügg,,
MXDT,rugge,,
MXJS,rügge,,
MYXS,rugge,,
NDVI,rigg,,
NDWO,rügg,,
NDZV,rugge,,
NEIS,rügge,,
NFNF,rügge,,
NGPR,rugge,,
NHCM,rügge,,
NIAP,rügge,,
NIDZ,rügg,,
NIHI,rugge,,
NJTA,rügge,,
NLQP,rügge,,
NMCH,rugge,,
NMUE,rigg,,
NMZI,rigg,,
NNHI,rügge,,
NNPH,rugge,,
NOMA,rügge,,
NOQT,rugge,,
NPFH,rigge,,
NPQC,rügge,,
NQPL,rügge,,
NSBJ,rigg,,
NUCN,rügge,,
NUHA,rugge,,
NUYJ,rugge,,
NVYG,rugge,,
NWFD,rugge,,
NWTU,rügge,,
NXDG,rugge,,
NYTH,rugge,,
NZQW,rugge,,
OASX,rügge,,
OBMP,rugge,,
OCBC,rügge,,
ODPT,rigge,,riggu
OEAH,rügge,,
OEZX,rugge,,
OFCF,rugge,,
OFFV,rügge,,
OFQQ,rugge,,
OFXV,rügge,,
OGPV,rügge,,
OGQG,rugge,,
OHPG,rigg,,
OIDW,rügg,,
OKGR,rügge,,
OKOZ,rügge,,
OKWW,rugge,,
OLBL,rigg,,
OLQM,rügge,,
OOMM,rugge,,
OPGH,rügg,,
ORGN,rigg,,
ORWP,rügg,,
ORZF,rügge,,
ORZO,rugge,,
OSIL,rugge,,
OTGL,rügge,,
OTKB,rugge,,
OUQD,rügge,,
OUZE,rügge,,
OWGL,rugge,,
OWIM,rigge,,
OYFQ,rugge,,
OYUZ,rügg,,
OYYZ,rügge,,
OZSY,rügge,,
PCJF,rugge,,
PCMF,rugge,,
PCNX,rugge,,
PDLD,rügge,,
PEAV,rugge,,
PGMA,rigg,,
PIVE,rugge,,
PJCV,rügge,,
PLSP,rugge,,
PMBH,rügge,,
PMLQ,rugge,,
PQFD,rugge,,
PRTT,rugge,,
PTMF,rügge,,
PWBS,rügge,,
PWRG,rigge,,riggu
PXDH,rugge,,
PXYB,rugge,,
PYDG,rügge,,
PYRT,rugge,,
PZKU,rugge,,
QAMI,rigge,,
QBCZ,rugge,,
QBYH,rugge,,
QDBA,rigg,,
QDCG,rügge,,
QDGR,rugge,,
QDGV,rigge,,
QEOR,rigg,,
QFCD,rügge,,
QFPK,rugge,,
QGPN,rugge,,
QKEJ,rigge,,
QKJG,rugge,,
QKOW,rugge,,
QKPX,rugge,,
QMBF,rugge,,
QMGE,rigg,,
QMNB,rügge,,
QNPX,rugge,,
QNXD,rugge,,
QOOD,rugge,,
QOST,rügg,,
QQKY,rugge,,
QRRJ,rigge,,
QSIC,rügge,,
QVTY,rugge,,
QVWW,rugge,,
QVXX,rugge,,
QVYB,rügge,,
QVYF,rügge,,
QWZT,rügge,,
QXIH,rugge,,
QYGT,rigg,,
QZDY,rügge,,
QZEX,rugge,,
RAJQ,rigge,,
RAKP,rugge,,
RATN,rugge,,
RBLS,rügge,,
RBOG,rigge,,
RCDF,rügge,,
RCFR,rugge,,
RCWY,rugge,,
RDTE,rugge,,
RGML,rugge,,
RGSE,rugge,,
RHJX,rugge,,
RHWR,rugge,,
RHYD,rügg,,
RIOS,rugge,,
RJVT,rigge,,
RLFX,rigge,,
RLZK,rugge,,
RMKN,rügge,,
RMNW,rugge,,
RMYB,rügge,,
RMZZ,rigge,,
RNEW,rügge,,
RNLY,rugge,,
ROMW,rugge,,
ROPY,rügge,,
ROYT,rügge,,
RQHU,rügge,,
RQJR,rügg,,
RRAU,rügge,,
RRDW,rigge,,
RRUY,rügge,,
RRWK,rügge,,
RSUK,rügg,,
RVHZ,rügg,,
RVPF,rügg,,
RWZQ,rugge,,
RXAO,rügge,,
RXJS,rugge,,
RXSC,rugge,,
RYDG,rügge,,
RZKH,rügge,,
SATI,rügge,,
SAUU,rigg,,
SBMK,rigg,,
SCON,rügge,,
SCTT,rugge,,
SDOI,rügge,,
SDYX,rigge,,
SDYY,rügge,,
SFID,rügge,,
SFSY,rigg,,
SHDQ,rugge,,
SHOU,rigge,,
SIBL,rugge,,
SION,rigg,,
SJVF,rigge,,
SKNK,rugge,,
SLLT,rügge,,
SNDV,rigge,,
SOKG,rügge,,
SOZJ,rugge,,
SPBA,rügge,,
SPCF,rugge,,
SPYB,rügge,,
SQAT,rügge,,
SRJK,rugge,,
SSQE,rigg,,
SSZQ,rugge,,
STGG,rigg,,
STIG,rugge,,
STWW,rugge,,
SUKO,rügge,,
SUPE,rügge,,
SWXV,rügge,,
SXAH,rugge,,
SXHP,rigge,,
SXMH,rügge,,
SXOS,rugge,,
SYIN,rugge,,
SYWQ,rügge,,
SYZH,rugge,,
SZYP,rügg,,
TASM,rügg,,
TBJW,rugge,,
TCBP,rugge,,
TFBR,rügge,,
TFRP,rigg,,
TFUD,rügge,,
TGFZ,rugge,,
THZB,rigge,,
TIBD,rügge,,
TIBR,rugge,,
TIDA,rugge,,
TIEX,rugge,,
TIKO,rugge,,
TIVM,rugge,,
TIXC,rügge,,
TKJD,rigg,,
TMAV,rügge,,
TMQT,rugge,,
TMYB,rügge,,
TNUQ,rugge,,
TPJS,rügge,,
TPQP,rugge,,
TPTK,rugge,,
TPVA,rügge,,
TQKV,rugge,,
TRDS,rugge,,
TRYJ,rugge,,
TSAA,rugge,,
TSPB,rügge,,
TTFI,rügge,,
TTIS,rugge,,
TTOF,rugge,,
TUEM,rügge,,
TUNJ,rugge,,
TUSD,rügge,,
TUZA,rügge,,
TVAU,rügg,,
TVET,rugge,,
TVKA,rugge,,
TVYF,rügge,,
TVZQ,rugge,,
TWDN,rugge,,
TWOR,rugge,,
TYCF,rügg,,
TYEY,rigg,,
UAFK,rugge,,
UBKB,rügge,,
UCAX,rigge,,
UDTD,rügge,,
UDXP,rigge,,
UFAM,rugge,,
UFDY,rugge,,
UGBP,rugge,,
UGGO,rugge,,
UGYQ,rügge,,
UHTS,rügge,,
UICW,rugge,,
UIHT,rugge,,
UKEJ,rügge,,
ULLP,rugge,,
UMFL,rugge,,
UNOI,rugge,,
UOAT,rugge,,
UOSS,rügge,,
UPAW,rigg,,
UQJA,rigg,,
UQKW,rügge,,
URJL,rigge,,
USUU,rügge,,
UUCL,rügge,,
UVIA,rügge,,
UWMU,rugge,,
UWOZ,rügge,,
UWSQ,rügge,,
UXEI,rügge,,
UZPN,rügge,,
VATG,rügge,,
VBQG,rügge,,
VCMZ,rugge,,
VCZR,rügge,,
VEKJ,rügge,,
VETL,rugge,,
VFBX,rugge,,
VFEX,rügge,,
VFKD,rugge,,
VFLN,rugge,,
VGMD,rügge,,
VGXK,rigg,,
VHUA,rügge,,
VIKF,rügge,,
VITE,rügge,,
VIVS,rügge,,
VJUZ,rugge,,
VJVC,rugge,,
VJYT,rigge,,
VLFD,rügge,,
VMPG,rügge,,
VMXT,rigge,,
VNQO,rügge,,
VOVJ,rügge,,
VOXQ,rugge,,
VOZO,rugge,,
VPSN,rigg,,
VQED,rugge,,
VQVH,rigge,,
VRIT,rügge,,
VRKE,rügge,,
VRSA,rügge,,
VRST,rugge,,
VSXG,rügge,,
VTEA,rügge,,
VUCU,rügge,,
VUJO,rigg,,
VUTP,rugge,,
VUYF,rügge,,
VVAO,rügge,,
VWOO,rügge,,
VXQH,rugge,,
VYVF,rügge,,
VZZC,rugge,,
WBHX,rugge,,
WCAR,rugge,,
WCPR,rügge,,
WCWE,rugge,,
WDZS,rügg,,
WFDO,rugge,,
WFQK,rügge,,
WGFT,rigg,,
WHVY,rügge,,
WIAS,rügg,,
WIWF,rugge,,
WJHB,rugge,,
WJWW,rugge,,
WKBB,rigge,,
WLOX,rügge,,
WNIY,rigg,,
WNMA,rugge,,
WOZO,rugge,,
WRWX,rugge,,
WSZF,rugge,,
WTEK,rugge,,
WUCN,rigg,,
WUEY,rugge,,
WUQD,rugge,,
WVLP,rugge,,
WVTO,rügge,,
WYIV,rugge,,
XAEL,rugge,,
XBSQ,rigg,,
XCEL,rigge,,
XCIM,rugge,,
XDBM,rügge,,
XDIE,rigge,,riggu
XDYX,rügge,,
XEKM,rugge,,
XEUG,rügg,,
XGAA,rigg,,
XIOT,rugge,,
XIUW,rugge,,
XIWJ,rugge,,
XIXL,rugge,,
XJVW,rugge,,
XMFF,rigg,,
XMXO,rugge,,
XMZW,rigg,,
XNAU,rugge,,
XNEG,rügge,,
XNJP,rügge,,
XNVQ,rügge,,
XOHE,rugge,,
XOIQ,rügge,,
XPCV,rugge,,
XPMD,rügge,,
XQGF,rügge,,
XQYH,rügge,,
XRIV,rugge,,
